category,prompt,CER,WER,CLS
all(20),Baseline(Prompt_v1),12.3,12.22,50.0
all(16),Baseline(Prompt_v1),12.17,12.98,51.6
tidy,Baseline(Prompt_v1),12.45,5.13,62.5
messy,Baseline(Prompt_v1),11.89,20.83,40.6
edge_cases,Baseline(Prompt_v1),12.81,9.17,43.8
yukang,Baseline(Prompt_v1),11.57,3.57,56.2
jingjie,Baseline(Prompt_v1),12.77,22.4,46.9
all(20),Prompt_v2,13.21,11.1,57.5
all(16),Prompt_v2,13.42,13.88,54.7
tidy,Prompt_v2,14.41,6.92,53.1
messy,Prompt_v2,12.43,20.83,56.2
edge_cases,Prompt_v2,12.38,0,68.8
yukang,Prompt_v2,13.2,5.36,50.0
jingjie,Prompt_v2,13.64,22.4,59.4
all(20),Prompt_v3,8.94,13.1,65.0
all(16),Prompt_v3,9.13,15.13,65.6
tidy,Prompt_v3,9.35,9.42,68.8
messy,Prompt_v3,8.9,20.83,62.5
edge_cases,Prompt_v3,8.18,5.0,62.5
yukang,Prompt_v3,9.56,5.36,65.6
jingjie,Prompt_v3,8.69,24.9,65.6
all(20),Prompt_v4,8.28,11.1,66.2
all(16),Prompt_v4,7.89,13.88,65.6
tidy,Prompt_v4,8.57,6.92,59.4
messy,Prompt_v4,7.22,20.83,71.9
edge_cases,Prompt_v4,9.86,0,68.8
yukang,Prompt_v4,7.22,5.36,65.6
jingjie,Prompt_v4,8.57,22.4,65.6
